ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,SCHUL_NM,ENG_SCHUL_NM,SCHUL_KND_SC_NM,HS_SC_NM,HS_GNRL_BUSNS_SC_NM,SPCLY_PURPS_HS_ORD_NM,ENE_BFE_SEHF_SC_NM,LCTN_SC_NM,ORG_RDNMA,ORG_TELNO,HMPG_ADRES,FOND_SC_NM,COEDU_SC_NM,FOND_YMD
B10,서울특별시교육청,7011489,단국대학교부속소프트웨어고등학교,Dankook University Software High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 강남구 도곡로64길 21,02-2116-0115,http://dankook.sen.hs.kr,사립,남,19410525
B10,서울특별시교육청,7010137,단국대학교사범대학부속고등학교,DanKook University High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강남구 도곡로64길 21,02-2191-2600,http://dan-kook.sen.hs.kr,사립,남,19831226
B10,서울특별시교육청,7010073,당곡고등학교,Dang-gok High School,고등학교,자율고,일반계,,후기,서울특별시,서울특별시 관악구 봉천로21길 108,02-6717-5200,http://danggok.sen.hs.kr,공립,남여공학,19831226
B10,서울특별시교육청,7011507,대경생활과학고등학교,Daekyeong Life Science High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 중구 매봉18길 111,02-2235-5155,http://daekyeong.sen.hs.kr,사립,남여공학,19560228
B10,서울특별시교육청,7010138,대광고등학교,Daegwang High School,고등학교,자율고,일반계,,전기,서울특별시,서울특별시 동대문구 안암로 6,02-940-2200,http://www.dgh.hs.kr,사립,남,19471125
B10,서울특별시교육청,7010833,대동세무고등학교,Daedong Taxation High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 종로구 계동길 84-10,02-763-1631,http://daedong.sen.hs.kr,사립,남여공학,19250418
B10,서울특별시교육청,7010139,대성고등학교,Daesung High School,고등학교,일반고,일반계,,전기,서울특별시,서울특별시 은평구 갈현로29길 51-24,02-6252-1000,http://dae-sung.sen.hs.kr,사립,남,19690109
B10,서울특별시교육청,7010140,대신고등학교,Daeshin High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 종로구 사직로 9,02-736-0317,http://daeshin.sen.hs.kr,사립,남,19380405
B10,서울특별시교육청,7010074,대영고등학교,Daeyeong High School,고등학교,자율고,일반계,,후기,서울특별시,서울특별시 영등포구 도림로86길 16,02-847-2019,http://dy.sen.hs.kr,공립,남여공학,19871215
B10,서울특별시교육청,7010141,대원고등학교,Daewon High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 광진구 용마산로22길 26,02-2204-1570,http://daewon.sen.hs.kr,사립,남,19770520
B10,서울특별시교육청,7010142,대원여자고등학교,Daewon Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 광진구 용마산로22길 26,02-2204-1620,http://dwg.sen.hs.kr,사립,여,19821013
B10,서울특별시교육청,7010143,대원외국어고등학교,Daewon Foreign Language High School,고등학교,특목고,일반계,외국어계열,전기,서울특별시,서울특별시 광진구 용마산로22길 26,02-2204-1530,http://www.dwfl.hs.kr/,사립,남여공학,19831007
B10,서울특별시교육청,7010144,대일고등학교,Daeil High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강서구 등촌로35길 90,070-4020-6400,https://daeil.sen.hs.kr/index.do,사립,남,19720926
B10,서울특별시교육청,7011186,대일관광고등학교,Daeil Tourism High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 양천구 신정이펜1로 11,02-6112-1703,http://daeil-tour.sen.hs.kr,사립,여,19800926
B10,서울특별시교육청,7010145,대일외국어고등학교,Daeil Foreign Language High School,고등학교,특목고,일반계,외국어계열,전기,서울특별시,서울특별시 성북구 서경로 116,02-940-1000,http://www.daeil.or.kr/,사립,남여공학,19840304
B10,서울특별시교육청,7010146,대진고등학교,Daejin High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 노원구 공릉로62가길 47,02-976-0067,http://daejin.sen.hs.kr,사립,남,19840613
B10,서울특별시교육청,7010740,대진디자인고등학교,Daejin Design High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 강남구 광평로39길 93,02-2226-8418,http://daejindesign.sen.hs.kr,사립,남여공학,19940325
B10,서울특별시교육청,7010147,대진여자고등학교,Daejin Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 노원구 공릉로 438,02-979-2327,http://daejinw.sen.hs.kr,사립,여,19880212
B10,서울특별시교육청,7010148,덕성여자고등학교,Duksung Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 종로구 율곡로3길 50,02-734-6871,http://duksung.sen.hs.kr,사립,여,19200419
B10,서울특별시교육청,7010808,덕수고등학교,Duksoo High School,고등학교,일반고,일반계,,전기,서울특별시,서울특별시 송파구 위례북로 10,02-6952-2801,https://duksoo.sen.hs.kr/,공립,남여공학,19100413
B10,서울특별시교육청,7010149,덕원여자고등학교,Deokwon Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강서구 강서로45길 91-44,02-2660-7800,http://deokwon.sen.hs.kr,사립,여,19780429
B10,서울특별시교육청,7010150,덕원예술고등학교,Deokwon Arts High School,고등학교,특목고,일반계,예술계열,전기,서울특별시,서울특별시 강서구 강서로45길 91-44,02-2660-7911,http://dwarts.sen.hs.kr,사립,남여공학,19911107
B10,서울특별시교육청,7010317,덕일전자공업고등학교,Deogil Electronic Technical High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 구로구 서해안로21길 5-12,02-2613-2762,http://di.sen.hs.kr,사립,남여공학,19941005
B10,서울특별시교육청,7011318,도선고등학교,DOSUN HIGH SCHOOL,고등학교,일반고,일반계,,전기,서울특별시,서울특별시 성동구 마장로 156,02-2292-8175,http://dosun.sen.hs.kr,공립,남여공학,20170301
B10,서울특별시교육청,7010560,독산고등학교,Doksan High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 금천구 문성로 64,02-857-6248,http://doksan.sen.hs.kr,공립,남여공학,20011231
B10,서울특별시교육청,7011586,동국대학교사범대학부속가람고등학교,"Garam High School Attached To College Of Education, Dongguk University",고등학교,일반고,일반계,,후기,서울특별시,서울특별시 광진구 광나루로36길 47,0220491577,https://garam.sen.hs.kr,사립,남여공학,19300620
B10,서울특별시교육청,7010151,동국대학교사범대학부속고등학교,High School Attached to College of Education Dongguk University,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 동대문구 장안벚꽃로 201,02-6913-1511,http://ddbk.sen.hs.kr,사립,남,19470624
B10,서울특별시교육청,7010152,동덕여자고등학교,Dongduk Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 서초구 효령로2길 123-5,02-586-5418,http://dongduk.sen.hs.kr,사립,여,19100428
B10,서울특별시교육청,7011490,동명생활경영고등학교,Dongmyung Career and Business High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 은평구 통일로 793,02-383-2628,http://dmgcab.sen.hs.kr/,사립,여,19210603
B10,서울특별시교육청,7010153,동명여자고등학교,Dongmyung Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 은평구 통일로 793,02-385-0652,http://dongmyung.sen.hs.kr,사립,여,19210603
B10,서울특별시교육청,7010154,동북고등학교,Dongbuk High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강동구 강동대로 305,02-477-2280,http://dongbuk.sen.hs.kr,사립,남,19530604
B10,서울특별시교육청,7010155,동성고등학교,Dongsung High School,고등학교,자율고,일반계,,전기,서울특별시,서울특별시 종로구 대학로 156,02-3671-9100,http://www.dongsung.hs.kr,사립,남,19070910
B10,서울특별시교육청,7010965,동양고등학교,Dongyang High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강서구 허준로 50,02-2657-0800,http://dongyang.sen.hs.kr,사립,남,19530519
B10,서울특별시교육청,7010156,동일여자고등학교,Dong-il Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 금천구 탑골로10길 45,02-803-9806,http://dongilg.sen.hs.kr,사립,여,19721219
B10,서울특별시교육청,7010075,동작고등학교,Dongjak High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 동작구 솔밭로 51,02-588-4196,http://dongjak.sen.hs.kr,공립,남여공학,19911023
B10,서울특별시교육청,7010076,둔촌고등학교,Doonchon High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강동구 명일로 140,02-480-3300,https://doonchon.sen.hs.kr/,공립,남여공학,19970115
B10,서울특별시교육청,7010700,등촌고등학교,Deung Chon High School,고등학교,자율고,일반계,,후기,서울특별시,서울특별시 강서구 공항대로39길 115,02-3665-6045,http://dch.sen.hs.kr,공립,남여공학,20040301
B10,서울특별시교육청,7010908,리라아트고등학교,Lila Art High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 중구 소파로2길 ,02-775-6541,http://lila.sen.hs.kr,사립,남여공학,19520520
B10,서울특별시교육청,7010157,마포고등학교,Mapo High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강서구 화곡로 403,02-3663-2583,http://mapo.sen.hs.kr,사립,남,19530601
B10,서울특별시교육청,7010077,면목고등학교,Myeonmok High School,고등학교,자율고,일반계,,후기,서울특별시,서울특별시 중랑구 용마산로72길 36-14,02-435-0002,http://mmhs.sen.hs.kr,공립,남,19821130
B10,서울특별시교육청,7010158,명덕고등학교,Myungduk High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강서구 강서로47길 34-10,02-2664-8817,http://myungduk.sen.hs.kr,사립,남,19841217
B10,서울특별시교육청,7010159,명덕여자고등학교,Myungduk Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강서구 강서로47길 34-10,02-2664-8815,mdgh.sen.hs.kr,사립,여,19831226
B10,서울특별시교육청,7010160,명덕외국어고등학교,Myungduk Foreign Language High School,고등학교,특목고,일반계,외국어계열,전기,서울특별시,서울특별시 강서구 강서로47길 34-10,02-2665-8821,http://www.mdfh.or.kr,사립,남여공학,19910911
B10,서울특별시교육청,7010078,명일여자고등학교,Myungil Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강동구 명일로 350,02-481-8192,http://myungil.sen.hs.kr,공립,여,19841217
B10,서울특별시교육청,7010163,명지고등학교,Myongji High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 서대문구 명지2길 56,02-303-1540,http://myongji.sen.hs.kr,사립,남여공학,19480412
B10,서울특별시교육청,7010744,목동고등학교,Mokdong High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 양천구 목동동로2길 68,02-2652-1701,https://mokdong.sen.hs.kr/,사립,여,19891208
B10,서울특별시교육청,7010079,무학여자고등학교,Muhak Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 성동구 고산자로 197,02-2200-1724,http://muhak.sen.hs.kr,공립,여,19400330
B10,서울특별시교육청,7010166,문일고등학교,Moonil High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 금천구 시흥대로47길 45,02-802-2301,http://moonil.sen.hs.kr,사립,남,19741227
B10,서울특별시교육청,7010701,문정고등학교,Munjeong High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 송파구 송이로34길 62,02-406-0061,http://mj.sen.hs.kr,공립,남여공학,20071101
B10,서울특별시교육청,7010959,문현고등학교,MUNHYEON HIGH SCHOOL,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 송파구 충민로 115,02-6951-8702,http://munhyeon.sen.hs.kr,공립,남여공학,20100301
B10,서울특별시교육청,7010591,미래산업과학고등학교,Mirae High School of Science and Technology,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 노원구 덕릉로82길 54,02-933-7671,http://mist.sen.hs.kr,사립,남여공학,19940301
B10,서울특별시교육청,7011569,미림마이스터고등학교,Mirim Meister High School,고등학교,특목고,전문계,산업수요 맞춤형 고등학교,전기,서울특별시,서울특별시 관악구 호암로 546,02-872-4071,https://www.e-mirim.hs.kr,사립,남여공학,19910301
B10,서울특별시교육청,7010167,미림여자고등학교,Mirim Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 관악구 호암로 546,02-886-1811,https://mirim.sen.hs.kr/,사립,여,19671230
B10,서울특별시교육청,7010080,반포고등학교,Banpo High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 서초구 고무래로 71,"02-2258-4300,4100",http://banpo.sen.hs.kr,공립,남여공학,19831226
B10,서울특별시교육청,7010590,방산고등학교,Bangsan High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 송파구 오금로27길 18,02-418-2602,http://bangsan.sen.hs.kr,공립,남여공학,20030301
B10,서울특별시교육청,7010168,배명고등학교,Baemyeong High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 송파구 삼학사로 11,02-414-5820,http://bm.sen.hs.kr,사립,남,19490307
B10,서울특별시교육청,7010169,배문고등학교,Baemoon High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 용산구 효창원로 258,02-3480-7100,http://www.baemoon.hs.kr,사립,남,19551231
B10,서울특별시교육청,7010170,배재고등학교,Paichai High School,고등학교,자율고,일반계,,전기,서울특별시,서울특별시 강동구 고덕로 227,02-428-1885,www.paichai.hs.kr,사립,남,18850608
B10,서울특별시교육청,7010171,배화여자고등학교,Paiwha Girls' High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 종로구 필운대로1길 34,02-724-0300,http://paiwha.sen.hs.kr,사립,여,18981002
B10,서울특별시교육청,7010172,백암고등학교,Baegam High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 양천구 신정로13길 16,02-2696-0110,http://baegam.sen.hs.kr,사립,남여공학,19840409
B10,서울특별시교육청,7010173,보성고등학교,Posung High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 송파구 양재대로 1278,02-2152-2430,http://posung.sen.hs.kr,사립,남,19060905
B10,서울특별시교육청,7010174,보성여자고등학교,Bosung Girls' High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 용산구 신흥로3가길 66,0263289628,http://bosung.sen.hs.kr,사립,여,19071010
B10,서울특별시교육청,7010813,보인고등학교,Boin High School,고등학교,자율고,일반계,,전기,서울특별시,서울특별시 송파구 오금로49길 18,02-2043-6021,http://www.boin.hs.kr,사립,남,19080608
B10,서울특별시교육청,7010736,불암고등학교,Buram High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 노원구 중계로 155,02-936-7500,http://buram.sen.hs.kr,공립,남여공학,20050301
B10,서울특별시교육청,7010985,삼각산고등학교,Samgaksan High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강북구 삼양로19길 40,02-980-2290,http://samgaksan.sen.hs.kr,공립,남여공학,20110301
B10,서울특별시교육청,7010081,삼성고등학교,Samsung High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 관악구 신림로 41,02-871-7583,http://samsung.sen.hs.kr,공립,남여공학,19860112
B10,서울특별시교육청,7010082,상계고등학교,Sang-gye High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 노원구 노해로 432,02-6477-0700,http://sanggye.sen.hs.kr,공립,남,19871215
B10,서울특별시교육청,7010593,상명고등학교,Sangmyung High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 노원구 덕릉로 553,02-971-6211,http://sangmyung.sen.hs.kr,사립,남여공학,19371201
B10,서울특별시교육청,7010178,상명대학교사범대학부속여자고등학교,Sangmyung University Girls' High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 종로구 홍지문2길 20,02-396-6302,http://sangmyung-agh.sen.hs.kr,사립,여,19661219
B10,서울특별시교육청,7010179,상문고등학교,Sangmoon High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 서초구 명달로 45,02-586-3141,http://sangmoon.sen.hs.kr,사립,남,19721223
B10,서울특별시교육청,7010806,상암고등학교,Sang-am High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 마포구 월드컵북로 445,02-373-0041,http://sangam.sen.hs.kr,공립,남여공학,20070104
B10,서울특별시교육청,7010916,상일미디어고등학교,Sangil Media High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 강동구 천호대로219길 61,02-428-0733,http://sangilmedia.sen.hs.kr,사립,남여공학,19831226
B10,서울특별시교육청,7010181,상일여자고등학교,Sangil Girls High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강동구 천호대로219길 61,02-428-0435,http://sangil.sen.hs.kr,사립,여,19791006
B10,서울특별시교육청,7010182,서라벌고등학교,Sorabol High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 노원구 한글비석로5길 18,02-2092-2200,http://sorabol.sen.hs.kr,사립,남,19560305
